Time:              575325, A:  -34, B: -128, Expected:  4352 Got: -4352 
Time:              581445, A:  -33, B: -128, Expected:  4224 Got: -4224 
Time:              587565, A:  -32, B: -128, Expected:  4096 Got: -4096 
Time:              593685, A:  -31, B: -128, Expected:  3968 Got: -3968 
Time:              599805, A:  -30, B: -128, Expected:  3840 Got: -3840 
Time:              605925, A:  -29, B: -128, Expected:  3712 Got: -3712 
Time:              612045, A:  -28, B: -128, Expected:  3584 Got: -3584 
Time:              618165, A:  -27, B: -128, Expected:  3456 Got: -3456 
Time:              624285, A:  -26, B: -128, Expected:  3328 Got: -3328 
Time:              630405, A:  -25, B: -128, Expected:  3200 Got: -3200 
Time:              636525, A:  -24, B: -128, Expected:  3072 Got: -3072 
Time:              642645, A:  -23, B: -128, Expected:  2944 Got: -2944 
Time:              648765, A:  -22, B: -128, Expected:  2816 Got: -2816 
Time:              654885, A:  -21, B: -128, Expected:  2688 Got: -2688 
Time:              661005, A:  -20, B: -128, Expected:  2560 Got: -2560 
Time:              667125, A:  -19, B: -128, Expected:  2432 Got: -2432 
Time:              673245, A:  -18, B: -128, Expected:  2304 Got: -2304 
Time:              679365, A:  -17, B: -128, Expected:  2176 Got: -2176 
Time:              685485, A:  -16, B: -128, Expected:  2048 Got: -2048 
Time:              691605, A:  -15, B: -128, Expected:  1920 Got: -1920 
Time:              697725, A:  -14, B: -128, Expected:  1792 Got: -1792 
Time:              703845, A:  -13, B: -128, Expected:  1664 Got: -1664 
Time:              709965, A:  -12, B: -128, Expected:  1536 Got: -1536 
Time:              716085, A:  -11, B: -128, Expected:  1408 Got: -1408 
Time:              722205, A:  -10, B: -128, Expected:  1280 Got: -1280 
Time:              728325, A:   -9, B: -128, Expected:  1152 Got: -1152 
Time:              734445, A:   -8, B: -128, Expected:  1024 Got: -1024 
Time:              740565, A:   -7, B: -128, Expected:   896 Got:  -896 
Time:              746685, A:   -6, B: -128, Expected:   768 Got:  -768 
Time:              752805, A:   -5, B: -128, Expected:   640 Got:  -640 
Time:              758925, A:   -4, B: -128, Expected:   512 Got:  -512 
